Name,Price,Make,Model,Year,Condition,Transmission,Exchange,Fuel Type,BodyType,Location,Mileage
2003 TOYKisumu CAMRY LE,"1,500,000",ToyKisumu,Camry,2003,Foreign,Automatic,,Petrol,,Eldoret,16508
2002 TOYKisumu CAMRY BASE ,"1,400,000",ToyKisumu,Camry,2002,Foreign,Automatic,,Petrol,,Eldoret,17408
2004 TOYKisumu RAV4 XLE,"2,000,000",ToyKisumu,RAV4,2004,Foreign,Automatic,,Petrol,,Eldoret,19784
2003 TOYKisumu COROLLA BASE,"1,450,000",ToyKisumu,Corolla,2003,Foreign,Automatic,,Petrol,,Eldoret,16740
20004 TOYKisumu RAV4 LE,"2,000,000",ToyKisumu,RAV4,2004,Foreign,Automatic,,Petrol,,Eldoret,16708
07 Lexus IS250 for sale,"1,200,000",Lexus,IS,2002,Foreign,Automatic,,Petrol,,Eldoret,86
2007 Lexus IS250,"1,650,000",Lexus,IS,2002,Foreign,Automatic,,Petrol,,Eldoret,45
007 Lexus IS250,"1,350,000",Lexus,IS,2002,Foreign,Automatic,,Petrol,,Eldoret,100
07 Lexus IS250,"1,450,000",Lexus,ES,2002,Foreign,Automatic,,Petrol,,Eldoret,80
2008 Lexus ES 350 foreign used,"1,500,000",Lexus,ES,2002,Foreign,Automatic,,Petrol,,Thika,115324
2016 TOYKisumu LIMITED 4RUNNER,"8,000,000",ToyKisumu,4runner,2002,Foreign,Automatic,,Petrol,,Machakos,9000
2015 ToyKisumu 4runner,"3,550,000",ToyKisumu,4runner,2002,Foreign,Automatic,,Petrol,,Nairobi,35000
2013 ToyKisumu Venza ,"2,600,000",ToyKisumu,Venza,2002,Foreign,Automatic,,Petrol,,Eldoret,12000
2010 ToyKisumu Venza ,"2,000,000",ToyKisumu,Venza,2002,Foreign,Automatic,,Petrol,,Mombasa,90000
2012 White ToyKisumu Venza,"2,000,000",ToyKisumu,Venza,2002,Foreign,Automatic,,Petrol,,Machakos,99000
2005 Foreign used ToyKisumu Camry,"1,050,000",ToyKisumu,Camry,2002,Foreign,Automatic,,Petrol,,Thika,11473
2015 Foreign used ToyKisumu Camry,"4,500,000",ToyKisumu,Camry,2002,Foreign,Automatic,,Petrol,,Thika,11482
2006 Foreign used ToyKisumu Corolla,"1,100,000",ToyKisumu,Corolla,2002,Foreign,Automatic,,Petrol,,Thika,11426
2009 Lexus RX 350 foreign used,"2,000,000",Lexus,RX,2002,Foreign,Automatic,,Petrol,,Thika,136175
2008 Lexus RX 350 foreign used ,"1,850,000",Lexus,RX,2002,Foreign,Automatic,,Petrol,,Thika,135179
2013 foreign used Acura ZDX,"2,800,000",Acura,ZDX,2002,Foreign,Automatic,,Petrol,,Thika,11584
2010 Foreign used ToyKisumu Venza,"2,850,000",ToyKisumu,Venza,2002,Foreign,Automatic,,Petrol,,Thika,11482
2011 foreign used Lexus RX 350,"2,500,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Thika,11452
2010 Foreign used Acura ZDX,"2,500,000",Acura,ZDX,2002,Kenyan Used,Automatic,,Petrol,,Thika,11453
2005 Foreign used Lexus Es330,"1,050,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Thika,11432
2008 foreign used ToyKisumu Camry muscle,"1,800,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Thika,118542
2006 Foreign used Lexus RX330 ,"1,500,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Thika,11426
2006 foreign used ToyKisumu Camry muscle,"2,300,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Thika,11853
2009 ToyKisumu Venza,"3,200,000",ToyKisumu,Camry,2009,Kenyan Used,Automatic,,Petrol,,Thika,11436
2003 TOYKisumu CAMRY XLE,"1,000,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Nairobi,7500
2008 foreign used Mercedes Benz C300,"2,800,000",Mercedes,C -class,2002,Kenyan Used,Automatic,,Petrol,,Thika,115243
2003 TOYKisumu CAMRY,"1,000,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Nairobi,980
2004 TOYKisumu CAMRY,"1,000,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Nairobi,900
2006 foreign used ToyKisumu Camry muscle,"2,100,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Thika,22546
2010 ToyKisumu Camry Muscle,"1,350,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,70
2002 DODGE CHARGER SXT,"1,650,000",Dodge,Charger,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,14507
2010 ToyKisumu Camry Muscle,"1,200,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2009 foreign used Lexus ES 350 ,"2,800,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Thika,11624
Auction 2008 ToyKisumu Camry Muscle,"1,280,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,100
2009 ToyKisumu Camry Muscle,"1,350,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,47
ToyKisumu Camry Muscle for sale,"1,300,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2009 ToyKisumu Camry Muscle for sale,"1,250,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,80
Superb Acura MDX up for Grabs,"2,789,654",Acura,MDX,2008,Kenyan Used,Automatic,,Petrol,,Mombasa,97000
2008 ToyKisumu Prado tokunbo for sale.,"1,350,000",ToyKisumu,Prado,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,58
CLEAN 2009 TOYKisumu PRADO,"1,450,000",ToyKisumu,Prado,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2004 MAZDA CX-5 GT,"1,750,000",Mazda,CX-7,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,18504
Name,Price,Make,Model,Year,Condition,Transmission,Exchange,Fuel Type,BodyType,Location,Mileage
2004 MAZDA CX-5 GT,"1,750,000",Mazda,CX-7,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,18504
Very clean ToyKisumu Corolla for sale,"1,000,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,12101
Clean ToyKisumu Corolla,"1,000,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,16121
ToyKisumu Corolla Sport,"1,000,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,13121
ToyKisumu Corolla 2004/for sale,"1,000,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Kisumu,77000
2004 FORD ESCAPE SE,"1,800,000",Ford,Escape,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,18470
Neat ToyKisumu sienna for sale,"1,250,000",ToyKisumu,Sienna,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,12101
ToyKisumu Corolla for sale,"1,250,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,12101
ToyKisumu venza 2010,"1,450,000",ToyKisumu,Venza,2002,Kenyan Used,Automatic,,Petrol,,Mombasa,140
ToyKisumu Avalon 2018,"2,000,000",ToyKisumu,Avalon,2002,Kenyan Used,Automatic,,Petrol,,Nairobi,14000
2006 ToyKisumu Coaster Bus,"3,800,000",ToyKisumu,Hiace,2006,Kenyan Used,Manual,,Petrol,,Mombasa,240000
ToyKisumu,"2,800,000",ToyKisumu,Camry,2008,Kenyan Used,Automatic,,Petrol,,Nakuru,25000
ToyKisumu,"2,200,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Naivasha,12000
ToyKisumu,"1,100,000",ToyKisumu,Matrix,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
2003 MERCEDES-BENZ E 300 4MATIC,"1,550,000",Mercedes,E -class,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,16507
2004 MERCEDES-BENZ GLA 250,"2,250,000",Mercedes,GLK -class,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,14708
Name,Price,Make,Model,Year,Condition,Transmission,Exchange,Fuel Type,BodyType,Location,Mileage
Name,Price,Make,Model,Year,Condition,Transmission,Exchange,Fuel Type,BodyType,Location,Mileage
ToyKisumu venza 2010,"1,450,000",ToyKisumu,Venza,2002,Foreign,Automatic,,Petrol,,Mombasa,140
ToyKisumu Avalon 2018,"2,000,000",ToyKisumu,Avalon,2002,Foreign,Automatic,,Petrol,,Nairobi,14000
2006 ToyKisumu Coaster Bus,"3,800,000",ToyKisumu,Hiace,2006,Foreign,Manual,,Petrol,,Mombasa,240000
ToyKisumu,"2,800,000",ToyKisumu,Camry,2008,Foreign,Automatic,,Petrol,,Nakuru,25000
ToyKisumu,"2,200,000",ToyKisumu,Corolla,2004,Foreign,Automatic,,Petrol,,Naivasha,12000
ToyKisumu,"1,100,000",ToyKisumu,Matrix,2002,Foreign,Automatic,,Petrol,,Eldoret,1000
2003 MERCEDES-BENZ E 300 4MATIC,"1,550,000",Mercedes,E -class,2003,Foreign,Automatic,,Petrol,,Eldoret,16507
2004 MERCEDES-BENZ GLA 250,"2,250,000",Mercedes,GLK -class,2004,Foreign,Automatic,,Petrol,,Eldoret,14708
2014 TOYKisumu CAMRY LE,"1,380,000",ToyKisumu,Camry,2002,Foreign,Automatic,,Petrol,,Eldoret,86
2014 TOYKisumu CAMRY SE,"1,450,000",ToyKisumu,Camry,2002,Foreign,Automatic,,Petrol,,Eldoret,100
2014 TOYKisumu COROLLA LE,"1,650,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,33
2014 TOYKisumu COROLLA LE,"1,500,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,80
 TOYKisumu CAMRY XLE,"1,450,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,67
2002  DODGE DART SX,"1,350,000",Dodge,DakKisumu,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,17408
2010 Foreign used Mercedes Benz,"2,500,000",Mercedes,C -class,2002,Kenyan Used,Automatic,,Petrol,,Thika,11482
2004 HONDA CR-V EXL,"2,150,000",Honda,CR-V,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,17870
2004 HONDA INSIGHT EX,"1,850,000",Honda,Insight,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,14708
2004 HONDA ACCORD EX ,"1,750,000",Honda,Accord,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,11708
2004 CHEVROLET SPARK 1LT,"1,550,000",Chevrolet,Spark,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,14708
2003 HUMMER H3,"1,600,000",Hummer,H3,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,14705
Lexus,"1,000,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
ToyKisumu,"1,000,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
2003 NISSAN MURANO S,"1,500,000",Nissan,Murano,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,17405
2003 NISSAN ROGUE S,"1,650,000",Nissan,Rogue,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,17452
2004 TOYKisumu RAV4 XLE,"2,000,000",ToyKisumu,RAV4,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,16408
2004 TOYKisumu SCION XD,"1,250,000",ToyKisumu,Spacio,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,14508
2002 TOYKisumu CAMRY L ,"1,350,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,14708
2003 TOYKisumu CAMRY LE,"1,500,000",ToyKisumu,Camry,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,16508
2002 TOYKisumu CAMRY BASE ,"1,400,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,17408
2004 TOYKisumu RAV4 XLE,"2,000,000",ToyKisumu,RAV4,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,19784
2003 TOYKisumu COROLLA BASE,"1,450,000",ToyKisumu,Corolla,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,16740
20004 TOYKisumu RAV4 LE,"2,000,000",ToyKisumu,RAV4,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,16708
07 Lexus IS250 for sale,"1,200,000",Lexus,IS,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2007 Lexus IS250,"1,650,000",Lexus,IS,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,45
007 Lexus IS250,"1,350,000",Lexus,IS,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,100
07 Lexus IS250,"1,450,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,80
2008 Lexus ES 350 foreign used,"1,500,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Thika,115324
2016 TOYKisumu LIMITED 4RUNNER,"8,000,000",ToyKisumu,4runner,2002,Kenyan Used,Automatic,,Petrol,,Machakos,9000
2015 ToyKisumu 4runner,"3,550,000",ToyKisumu,4runner,2002,Kenyan Used,Automatic,,Petrol,,Nairobi,35000
2013 ToyKisumu Venza ,"2,600,000",ToyKisumu,Venza,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,12000
2010 ToyKisumu Venza ,"2,000,000",ToyKisumu,Venza,2002,Kenyan Used,Automatic,,Petrol,,Mombasa,90000
2012 White ToyKisumu Venza,"2,000,000",ToyKisumu,Venza,2002,Kenyan Used,Automatic,,Petrol,,Machakos,99000
2005 Foreign used ToyKisumu Camry,"1,050,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Thika,11473
2015 Foreign used ToyKisumu Camry,"4,500,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Thika,11482
2006 Foreign used ToyKisumu Corolla,"1,100,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Thika,11426
2009 Lexus RX 350 foreign used,"2,000,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Thika,136175
2008 Lexus RX 350 foreign used ,"1,850,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Thika,135179
2013 foreign used Acura ZDX,"2,800,000",Acura,ZDX,2002,Kenyan Used,Automatic,,Petrol,,Thika,11584
2010 Foreign used ToyKisumu Venza,"2,850,000",ToyKisumu,Venza,2002,Kenyan Used,Automatic,,Petrol,,Thika,11482
2011 foreign used Lexus RX 350,"2,500,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Thika,11452
2010 Foreign used Acura ZDX,"2,500,000",Acura,ZDX,2002,Kenyan Used,Automatic,,Petrol,,Thika,11453
2005 Foreign used Lexus Es330,"1,050,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Thika,11432
2008 foreign used ToyKisumu Camry muscle,"1,800,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Thika,118542
2006 Foreign used Lexus RX330 ,"1,500,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Thika,11426
2006 foreign used ToyKisumu Camry muscle,"2,300,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Thika,11853
2009 ToyKisumu Venza,"3,200,000",ToyKisumu,Camry,2009,Kenyan Used,Automatic,,Petrol,,Thika,11436
2003 TOYKisumu CAMRY XLE,"1,000,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Nairobi,7500
2008 foreign used Mercedes Benz C300,"2,800,000",Mercedes,C -class,2002,Kenyan Used,Automatic,,Petrol,,Thika,115243
2003 TOYKisumu CAMRY,"1,000,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Nairobi,980
2004 TOYKisumu CAMRY,"1,000,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Nairobi,900
2006 foreign used ToyKisumu Camry muscle,"2,100,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Thika,22546
2010 ToyKisumu Camry Muscle,"1,350,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,70
2002 DODGE CHARGER SXT,"1,650,000",Dodge,Charger,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,14507
2010 ToyKisumu Camry Muscle,"1,200,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2009 foreign used Lexus ES 350 ,"2,800,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Thika,11624
Auction 2008 ToyKisumu Camry Muscle,"1,280,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,100
2009 ToyKisumu Camry Muscle,"1,350,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,47
ToyKisumu Camry Muscle for sale,"1,300,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2009 ToyKisumu Camry Muscle for sale,"1,250,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,80
Superb Acura MDX up for Grabs,"2,789,654",Acura,MDX,2008,Kenyan Used,Automatic,,Petrol,,Mombasa,97000
2008 ToyKisumu Prado tokunbo for sale.,"1,350,000",ToyKisumu,Prado,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,58
CLEAN 2009 TOYKisumu PRADO,"1,450,000",ToyKisumu,Prado,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2004 MAZDA CX-5 GT,"1,750,000",Mazda,CX-7,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,18504
Very clean ToyKisumu Corolla for sale,"1,000,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,12101
Clean ToyKisumu Corolla,"1,000,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,16121
ToyKisumu Corolla Sport,"1,000,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,13121
ToyKisumu Corolla 2004/for sale,"1,000,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Kisumu,77000
2004 FORD ESCAPE SE,"1,800,000",Ford,Escape,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,18470
Neat ToyKisumu sienna for sale,"1,250,000",ToyKisumu,Sienna,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,12101
ToyKisumu Corolla for sale,"1,250,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,12101
Super clean ToyKisumu Corolla for sale,"1,250,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,55121
ToyKisumu Corolla for sale,"1,000,000",ToyKisumu,Corolla,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,12101
2003 INFINITI QX60,"2,000,000",Infiniti,QX56,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,15740
2004 INFINITI QX56 ,"2,800,000",Infiniti,FX56,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,17408
2002 INFINITI G37 BASE,"1,850,000",Infiniti,G37,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,13406
ToyKisumu Corolla 2004/for sale,"1,850,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Kisumu,17630
Pathfinder jeep 2004 Model,"2,350,000",Nissan,Pathfinder,2004,Kenyan Used,Automatic,,Petrol,,Machakos,4750
2002 TOYKisumu SIENNA XLE,"1,000,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Nairobi,900
2000 ToyKisumu Sienna Xle,"1,000,000",ToyKisumu,Sienna,2002,Kenyan Used,Manual,,Petrol,,Machakos,600
2005 ToyKisumu Sienna,"1,000,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Mombasa,35000
2011 ToyKisumu Corolla,"1,200,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Nairobi,78000
2011 ToyKisumu Corolla,"1,000,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Mombasa,28000
2011 ToyKisumu  Corolla Sport,"1,000,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,97000
2011 ToyKisumu Corolla LE,"1,000,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Nakuru,60000
2011 ToyKisumu sienna,"1,500,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Thika,67000
2011 ToyKisumu sienna,"1,500,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Mombasa,28000
2010 Lexus Rx350,"2,000,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,70000
2010 Lexus RX350,"2,000,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,12000
2016 Honda Accord EX,"1,400,000",Honda,Accord,2002,Kenyan Used,Automatic,,Petrol,,Nairobi,8000
2018 Honda civic,"1,000,000",Honda,Civic,2002,Kenyan Used,Automatic,,Petrol,,Mombasa,900
2018 Honda accord sport,"1,350,000",Honda,Accord,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,998
2004 BMW X3 SDRIVE30I ,"2,450,000",BMW,X3,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,12707
2004 HYUNDAI SANTA FE SPORT,"2,100,000",Hyundai,Sonata,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,13470
2003 PONTIAC G6 BASE,"1,450,000",Pontiac,G6,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,17405
2003 PONTIAC AZTEK,"2,000,000",Pontiac,Aztec,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,15807
2004 PONTIAC VIBE GT,"1,950,000",Pontiac,Vibe,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,17408
2003 KIA FORTE EX,"1,850,000",Kia,Forte,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,13408
2004 KIA SORENTO SX,"2,100,000",Kia,Sorento,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,45740
2004 LAND ROVER DISCOVERY SPORT HSE LUXURY,"2,650,000",Land rover,Discovery,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,45708
2003 LAND ROVER LR3 SE,"2,750,000",Land rover,Range Rover,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,45708
2004 LEXUS ES 350,"1,550,000",Lexus,ES,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,45078
Neat ToyKisumu Camry red for sale,"1,250,000",ToyKisumu,Camry,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,12101
ToyKisumu Corolla for sale,"1,000,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,55121
ToyKisumu Sienna 1999 Model ,"1,000,000",ToyKisumu,Camry,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,63120
Lexus RX350 ,"1,000,000",Lexus,RX,2004,Kenyan Used,Automatic,,Petrol,,Nakuru,210787
Foreign used 2010 ToyKisumu venza,"3,800,000",ToyKisumu,Venza,2002,Kenyan Used,Automatic,,Petrol,,Thika,11524
ToyKisumu Corolla for sale,"1,250,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Kisumu,16730
ToyKisumu Matrix ,"1,800,000",ToyKisumu,Matrix,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,12400
ToyKisumu Corolla 2001/for sale ,"1,185,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Kisumu,16730
ToyKisumu Corolla for sale ,"1,100,000",ToyKisumu,Corolla,2003,Kenyan Used,Automatic,,Petrol,,Kisumu,16730
ToyKisumu,"1,000,000",ToyKisumu,Camry,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,141003
Lexus,"1,000,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
TOYKisumu ,"1,500,000",ToyKisumu,Avanza,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
